Hugo Symbol	ensembl	oncokb	mskcc	mane
ABCB1	ENST00000622132			ENST00000622132
ABL1	ENST00000318560	ENST00000318560	ENST00000318560	ENST00000318560
ABL2	ENST00000502732	ENST00000502732		ENST00000502732
ABRAXAS1	ENST00000321945	ENST00000321945	ENST00000321945	ENST00000321945
ACKR3	ENST00000272928	ENST00000272928		ENST00000272928
ACTG1	ENST00000573283	ENST00000573283		ENST00000573283
ACVR1	ENST00000434821	ENST00000263640	ENST00000434821	ENST00000434821
ACVR1B	ENST00000257963	ENST00000257963		ENST00000257963
ACVR2A	ENST00000241416	ENST00000241416		ENST00000241416
ADARB2	ENST00000381312			ENST00000381312
ADGRA2	ENST00000412232	ENST00000412232		ENST00000412232
ADGRG4	ENST00000394143			ENST00000394143
ADHFE1	ENST00000396623	ENST00000396623		ENST00000396623
AFDN	ENST00000683244	ENST00000447894		
AFF4	ENST00000265343	ENST00000265343		ENST00000265343
AGGF1	ENST00000312916			ENST00000312916
AGK	ENST00000649286			ENST00000649286
AGO1	ENST00000373204	ENST00000373204	ENST00000373204	ENST00000373204
AGO2	ENST00000220592	ENST00000220592	ENST00000220592	ENST00000220592
AIP	ENST00000279146			ENST00000279146
AJUBA	ENST00000262713	ENST00000262713		ENST00000262713
AKT1	ENST00000649815	ENST00000349310	ENST00000407796	ENST00000649815
AKT1S1	ENST00000344175			ENST00000344175
AKT2	ENST00000392038	ENST00000392038	ENST00000392038	ENST00000392038
AKT3	ENST00000673466	ENST00000263826	ENST00000673466	ENST00000673466
ALB	ENST00000295897	ENST00000295897	ENST00000295897	ENST00000295897
ALDH1L2	ENST00000258494	ENST00000258494		ENST00000258494
ALDH2	ENST00000261733	ENST00000261733		ENST00000261733
ALK	ENST00000389048	ENST00000389048	ENST00000389048	ENST00000389048
ALOX12B	ENST00000647874	ENST00000647874	ENST00000647874	ENST00000647874
ALOX15B	ENST00000380183			ENST00000380183
ALOX5	ENST00000374391			ENST00000374391
AMER1	ENST00000374869	ENST00000374869	ENST00000374869	ENST00000374869
ANKRD11	ENST00000301030	ENST00000301030	ENST00000301030	ENST00000301030
ANKRD26	ENST00000376087	ENST00000376087		ENST00000376087
APC	ENST00000257430	ENST00000257430	ENST00000257430	ENST00000257430
APEX1	ENST00000216714			ENST00000216714
APLNR	ENST00000606794	ENST00000257254	ENST00000606794	
AR	ENST00000374690	ENST00000374690	ENST00000374690	ENST00000374690
ARAF	ENST00000377045	ENST00000377045	ENST00000377045	ENST00000377045
ARHGAP26	ENST00000645722	ENST00000274498		ENST00000645722
ARHGAP35	ENST00000672722	ENST00000404338	ENST00000672722	ENST00000672722
ARHGEF12	ENST00000397843	ENST00000397843		ENST00000397843
ARHGEF28	ENST00000513042	ENST00000426542		
ARID1A	ENST00000324856	ENST00000324856	ENST00000324856	ENST00000324856
ARID1B	ENST00000636930	ENST00000647938	ENST00000647938	ENST00000636930
ARID2	ENST00000334344	ENST00000334344	ENST00000334344	ENST00000334344
ARID3A	ENST00000263620	ENST00000263620		ENST00000263620
ARID3B	ENST00000346246	ENST00000346246		ENST00000346246
ARID3C	ENST00000378909	ENST00000378909		
ARID4A	ENST00000355431	ENST00000355431		ENST00000355431
ARID4B	ENST00000264183	ENST00000264183		ENST00000264183
ARID5A	ENST00000357485	ENST00000357485		ENST00000357485
ARID5B	ENST00000279873	ENST00000279873	ENST00000279873	ENST00000279873
ASXL1	ENST00000375687	ENST00000375687	ENST00000375687	ENST00000375687
ASXL2	ENST00000435504	ENST00000435504	ENST00000435504	ENST00000435504
ATF1	ENST00000262053	ENST00000262053		ENST00000262053
ATIC	ENST00000236959	ENST00000236959		ENST00000236959
ATM	ENST00000675843	ENST00000278616	ENST00000675843	ENST00000675843
ATP1A1	ENST00000295598	ENST00000295598		ENST00000295598
ATP6AP1	ENST00000369762	ENST00000369762		ENST00000369762
ATP6V1B2	ENST00000276390	ENST00000276390		ENST00000276390
ATR	ENST00000350721	ENST00000350721	ENST00000350721	ENST00000350721
ATRIP	ENST00000320211	ENST00000320211		ENST00000320211
ATRX	ENST00000373344	ENST00000373344	ENST00000373344	ENST00000373344
ATXN2	ENST00000673436	ENST00000550104		ENST00000673436
ATXN7	ENST00000674280	ENST00000295900	ENST00000522345	ENST00000674280
AURKA	ENST00000395915	ENST00000312783	ENST00000347343	ENST00000395915
AURKB	ENST00000585124	ENST00000585124	ENST00000585124	ENST00000585124
AXIN1	ENST00000262320	ENST00000262320	ENST00000262320	ENST00000262320
AXIN2	ENST00000307078	ENST00000307078	ENST00000307078	ENST00000307078
AXL	ENST00000301178	ENST00000301178	ENST00000301178	ENST00000301178
B2M	ENST00000648006	ENST00000559916	ENST00000648006	ENST00000648006
BAALC	ENST00000309982	ENST00000297574		ENST00000309982
BABAM1	ENST00000598188	ENST00000359435	ENST00000359435	ENST00000598188
BACH2	ENST00000257749	ENST00000257749		ENST00000257749
BAP1	ENST00000460680	ENST00000460680	ENST00000460680	ENST00000460680
BARD1	ENST00000260947	ENST00000260947	ENST00000260947	ENST00000260947
BBC3	ENST00000439096	ENST00000449228	ENST00000449228	ENST00000439096
BCL10	ENST00000648566	ENST00000648566	ENST00000648566	ENST00000648566
BCL11B	ENST00000357195	ENST00000357195		ENST00000357195
BCL2	ENST00000333681	ENST00000333681	ENST00000398117	ENST00000333681
BCL2L1	ENST00000307677	ENST00000307677	ENST00000307677	ENST00000307677
BCL2L11	ENST00000393256	ENST00000393256	ENST00000393256	ENST00000393256
BCL2L2	ENST00000250405	ENST00000250405		ENST00000250405
BCL3	ENST00000164227	ENST00000164227		ENST00000164227
BCL6	ENST00000406870	ENST00000232014	ENST00000406870	ENST00000406870
BCL7A	ENST00000261822	ENST00000261822		ENST00000261822
BCL9	ENST00000234739	ENST00000234739		ENST00000234739
BCOR	ENST00000378444	ENST00000378444	ENST00000378444	ENST00000378444
BCORL1	ENST00000540052	ENST00000218147		ENST00000540052
BCR	ENST00000305877	ENST00000305877		ENST00000305877
BIRC3	ENST00000263464	ENST00000263464	ENST00000615299	ENST00000263464
BIVM-ERCC5	ENST00000639435		ENST00000639435	
BLM	ENST00000355112	ENST00000355112	ENST00000355112	ENST00000355112
BMPR1A	ENST00000372037	ENST00000372037	ENST00000372037	ENST00000372037
