Hugo Symbol	ensembl	oncokb	mskcc	mane
ACVR1	ENST00000434821	ENST00000263640	ENST00000434821	ENST00000434821
AKT1	ENST00000649815	ENST00000349310	ENST00000407796	ENST00000649815
AKT3	ENST00000673466	ENST00000263826	ENST00000673466	ENST00000673466
APLNR	ENST00000606794	ENST00000257254	ENST00000606794	
ARHGAP35	ENST00000672722	ENST00000404338	ENST00000672722	ENST00000672722
ATM	ENST00000675843	ENST00000278616	ENST00000675843	ENST00000675843
ATXN7	ENST00000674280	ENST00000295900	ENST00000522345	ENST00000674280
AURKA	ENST00000395915	ENST00000312783	ENST00000347343	ENST00000395915
B2M	ENST00000648006	ENST00000559916	ENST00000648006	ENST00000648006
BCL2	ENST00000333681	ENST00000333681	ENST00000398117	ENST00000333681
BCL6	ENST00000406870	ENST00000232014	ENST00000406870	ENST00000406870
BIRC3	ENST00000263464	ENST00000263464	ENST00000615299	ENST00000263464
CDC42	ENST00000656825	ENST00000344548	ENST00000656825	ENST00000656825
CDK6	ENST00000424848	ENST00000265734	ENST00000424848	ENST00000424848
CDKN1A	ENST00000244741	ENST00000244741	ENST00000448526	ENST00000244741
CDKN2A	ENST00000304494	ENST00000304494	ENST00000304494,ENST00000579755	ENST00000304494
CDKN2C	ENST00000371761	ENST00000262662	ENST00000371761	ENST00000371761
CHEK1	ENST00000438015	ENST00000428830	ENST00000534070	
CMTR2	ENST00000434935	ENST00000338099	ENST00000434935	ENST00000434935
CRLF2	ENST00000400841	ENST00000381566	ENST00000400841	ENST00000400841
CSDE1	ENST00000358528	ENST00000438362	ENST00000610726	ENST00000358528
CSF3R	ENST00000373106	ENST00000361632	ENST00000373106	ENST00000373106
CYLD	ENST00000427738	ENST00000398568	ENST00000569418	ENST00000427738
CYSLTR2	ENST00000682523	ENST00000282018	ENST00000614739	
DAXX	ENST00000374542	ENST00000266000	ENST00000374542	ENST00000374542
DICER1	ENST00000343455	ENST00000393063	ENST00000343455	ENST00000343455
DNMT3A	ENST00000321117	ENST00000264709	ENST00000321117	ENST00000321117
DROSHA	ENST00000344624	ENST00000344624	ENST00000511367	ENST00000344624
EGFL7	ENST00000308874	ENST00000308874	ENST00000371698	ENST00000308874
ELF3	ENST00000367284	ENST00000359651	ENST00000367284	ENST00000367284
ELOC	ENST00000520242	ENST00000284811	ENST00000520242	ENST00000520242
ESR1	ENST00000206249	ENST00000206249	ENST00000443427	ENST00000206249
FBXW7	ENST00000281708	ENST00000281708	ENST00000603548	ENST00000281708
FOXP1	ENST00000649528	ENST00000318789	ENST00000498215	ENST00000649528
FYN	ENST00000354650	ENST00000368678	ENST00000368682	ENST00000354650
GAB1	ENST00000262994	ENST00000262994	ENST00000262995	
GREM1	ENST00000651154	ENST00000300177	ENST00000651154	ENST00000651154
H2BC5	ENST00000377777	ENST00000289316	ENST00000377777	
H3C6	ENST00000614911	ENST00000634733	ENST00000614911	
HLA-A	ENST00000376809	ENST00000376809	ENST00000376802	ENST00000376809
HLA-C	ENST00000376228	ENST00000376228	ENST00000400394	
HRAS	ENST00000311189	ENST00000451590	ENST00000311189	ENST00000311189
INPP4B	ENST00000262992	ENST00000262992	ENST00000513000	
KBTBD4	ENST00000430070	ENST00000395288	ENST00000430070	ENST00000430070
