Hugo Symbol	ensembl	oncokb	mskcc	MSK-Impact	MSK-Impact_enst_id	ensembl_protein_length	oncokb_protein_length	mskcc_protein_length	MSK-Impact_enst_id_protein_length	longest_protein	identical_protein_sequence
ASXL2	ENST00000435504	ENST00000435504	ENST00000336112	NM_018263.4	ENST00000336112	1435.0	1435.0	1407.0	1407.0	oncokb	False
ATXN7	ENST00000398590	ENST00000295900	ENST00000398590	NM_001177387.1	ENST00000398590	945.0	892.0	945.0	945.0	mskcc,MSK-Impact	False
CBFB	ENST00000412916	ENST00000412916	ENST00000290858	NM_022845.2	ENST00000290858	187.0	187.0	182.0	182.0	oncokb	False
CCNQ	ENST00000576892	ENST00000576892	ENST00000406277	ENST00000406277	ENST00000406277	248.0	248.0	246.0		oncokb	False
CRLF2	ENST00000381567	ENST00000381566	ENST00000381567	NM_022148.2	ENST00000381567	256.0	233.0	256.0	256.0	mskcc,MSK-Impact	False
DNMT1	ENST00000359526	ENST00000340748	ENST00000540357	NM_001379.2	ENST00000540357	1632.0	1616.0	1619.0	1619.0	mskcc,MSK-Impact	False
EIF4A2	ENST00000323963	ENST00000323963	ENST00000440191	NM_001967.3	ENST00000440191	407.0	407.0	408.0	408.0	mskcc,MSK-Impact	False
ERBB2	ENST00000269571	ENST00000269571	ENST00000540147	NM_004448.2	ENST00000540147	1255.0	1255.0	1225.0	1225.0	oncokb	False
EZH1	ENST00000428826	ENST00000428826	ENST00000415827	NM_001991.3	ENST00000415827	747.0	747.0	738.0	738.0	oncokb	False
GAB1	ENST00000262995	ENST00000262994	ENST00000262995	NM_207123.2	ENST00000262995	724.0	694.0	724.0	724.0	mskcc,MSK-Impact	False
GATA3	ENST00000379328	ENST00000346208	ENST00000379328	NM_002051.2	ENST00000379328	444.0	443.0	444.0	444.0	mskcc,MSK-Impact	False
GSK3B	ENST00000316626	ENST00000316626	ENST00000264235	NM_002093.3	ENST00000264235	433.0	433.0	420.0	420.0	oncokb	False
HNF1A	ENST00000257555	ENST00000257555	ENST00000541395	NM_000545.5	ENST00000541395	631.0	631.0	662.0	662.0	mskcc,MSK-Impact	False
ICOSLG	ENST00000407780	ENST00000407780	ENST00000400379	NM_015259.4	ENST00000400379	302.0	302.0	473.0	473.0	mskcc,MSK-Impact	False
KBTBD4	ENST00000430070	ENST00000395288	ENST00000430070	NM_018095.4	ENST00000430070	534.0	518.0	534.0	534.0	mskcc,MSK-Impact	False
MED12	ENST00000374080	ENST00000374080	ENST00000333646	NM_005120.2	ENST00000333646	2177.0	2177.0	2180.0	2180.0	mskcc,MSK-Impact	False
MUTYH	ENST00000372098	ENST00000372115	ENST00000450313	NM_001128425.1	ENST00000450313	546.0	535.0	549.0	549.0	mskcc,MSK-Impact	False
NADK	ENST00000344463	ENST00000341426	ENST00000378625	NM_001198994.1	ENST00000378625	591.0	446.0	591.0	591.0	mskcc,MSK-Impact	False
NCOA3	ENST00000371998	ENST00000371998	ENST00000372004	NM_181659.2	ENST00000372004	1424.0	1424.0	1420.0	1420.0	oncokb	False
PPP4R2	ENST00000356692	ENST00000356692	ENST00000295862	NM_174907.2	ENST00000295862	417.0	417.0	361.0	361.0	oncokb	False
RAD50	ENST00000265335	ENST00000265335	ENST00000378823	NM_005732.3	ENST00000378823	1312.0	1312.0	1173.0	1173.0	oncokb	False
RBM10	ENST00000377604	ENST00000329236	ENST00000377604	NM_001204468.1	ENST00000377604	930.0	852.0	930.0	930.0	mskcc,MSK-Impact	False
RRAS2	ENST00000256196	ENST00000256196	ENST00000545643	NM_012250.5	ENST00000545643	204.0	204.0	210.0	210.0	mskcc,MSK-Impact	False
SMYD3	ENST00000388985	ENST00000388985	ENST00000490107	NM_001167740.1	ENST00000490107	428.0	428.0	369.0	369.0	oncokb	False
VEGFA	ENST00000372055	ENST00000523873	ENST00000372067	NM_001171623.1	ENST00000372067	412.0	232.0	371.0	371.0	mskcc,MSK-Impact	False
PGBD5	ENST00000525115	ENST00000525115		NM_001258311.1	ENST00000391860	455.0	455.0		409.0	oncokb	False
ACVR1	ENST00000263640	ENST00000263640	ENST00000434821	NM_001111067.2	ENST00000434821	509.0	509.0	509.0	509.0	equal	True
AKT1	ENST00000554581	ENST00000349310	ENST00000407796	NM_001014431.1	ENST00000407796	480.0	480.0	480.0	480.0	equal	True
APLNR	ENST00000606794	ENST00000257254	ENST00000606794	NM_005161.4	ENST00000606794	380.0	380.0	380.0	380.0	equal	True
AURKA	ENST00000395909	ENST00000312783	ENST00000347343	NM_003600.2	ENST00000347343	403.0	403.0	403.0	403.0	equal	True
BCL2	ENST00000398117	ENST00000333681	ENST00000398117	NM_000633.2	ENST00000398117	239.0	239.0	239.0	239.0	equal	True
BCL6	ENST00000406870	ENST00000232014	ENST00000406870	NM_001706.4	ENST00000406870	706.0	706.0	706.0	706.0	equal	True
BIRC3	ENST00000263464	ENST00000263464	ENST00000532808	NM_182962.2	ENST00000532808	604.0	604.0	604.0	604.0	equal	True
BRCA2	ENST00000544455	ENST00000380152	ENST00000544455	NM_000059.3	ENST00000544455	3418.0	3418.0	3418.0	3418.0	equal	True
CDC42	ENST00000344548	ENST00000344548	ENST00000400259	NM_001791.3	ENST00000400259	191.0	191.0	191.0	191.0	equal	True
CDK6	ENST00000265734	ENST00000265734	ENST00000424848	NM_001145306.1	ENST00000424848	326.0	326.0	326.0	326.0	equal	True
CDKN2C	ENST00000262662	ENST00000262662	ENST00000371761	NM_078626.2	ENST00000371761	168.0	168.0	168.0	168.0	equal	True
CHEK1	ENST00000534070	ENST00000428830	ENST00000534070	NM_001274.5	ENST00000534070	476.0	476.0	476.0	476.0	equal	True
CSF3R	ENST00000373103	ENST00000361632	ENST00000373106	NM_000760.3	ENST00000373106	863.0	836.0	836.0	836.0	equal	True
CYLD	ENST00000427738	ENST00000398568	ENST00000569418	NM_001042355.1	ENST00000569418	956.0	953.0	953.0	953.0	equal	True
CYP19A1	ENST00000396402	ENST00000260433	ENST00000396402	NM_000103.3	ENST00000396402	503.0	503.0	503.0	503.0	equal	True
DICER1	ENST00000526495	ENST00000393063	ENST00000343455	NM_177438.2	ENST00000343455	1922.0	1922.0	1922.0	1922.0	equal	True
DNMT3A	ENST00000264709	ENST00000264709	ENST00000321117	NM_022552.4	ENST00000321117	912.0	912.0	912.0	912.0	equal	True
DROSHA	ENST00000511367	ENST00000344624	ENST00000511367	NM_013235.4	ENST00000511367	1374.0	1374.0	1374.0	1374.0	equal	True
EGFL7	ENST00000371699	ENST00000308874	ENST00000371698	NM_201446.2	ENST00000371698	273.0	273.0	273.0	273.0	equal	True
ELF3	ENST00000359651	ENST00000359651	ENST00000367284	NM_004433.4	ENST00000367284	371.0	371.0	371.0	371.0	equal	True
ELOC	ENST00000518127	ENST00000284811	ENST00000520242	NM_005648.3	ENST00000520242	112.0	112.0	112.0	112.0	equal	True
ESR1	ENST00000440973	ENST00000206249	ENST00000443427	NM_001122740.1	ENST00000443427	595.0	595.0	595.0	595.0	equal	True
