Hugo Symbol	ensembl	oncokb	mskcc	MSK-Impact
ABCB1	ENST00000265724			
ABL1	ENST00000372348	ENST00000318560	ENST00000318560	NM_005157.4
ABL2	ENST00000502732	ENST00000502732		
ABRAXAS1	ENST00000321945	ENST00000321945	ENST00000321945	NM_139076.2
ACKR3	ENST00000272928	ENST00000272928		
ACTG1	ENST00000575842	ENST00000331925		
ACVR1	ENST00000263640	ENST00000263640	ENST00000434821	NM_001111067.2
ACVR1B	ENST00000541224	ENST00000257963		
ACVR2A	ENST00000241416	ENST00000241416		
ADARB2	ENST00000381312			
ADGRA2	ENST00000412232	ENST00000412232		
ADGRG4	ENST00000394143			
ADHFE1	ENST00000396623	ENST00000396623		
AFDN	ENST00000392108	ENST00000447894		
AFF4	ENST00000265343	ENST00000265343		
AGGF1	ENST00000312916			
AGK	ENST00000355413			
AGO1	ENST00000373204	ENST00000373204	ENST00000373204	
AGO2	ENST00000220592	ENST00000220592	ENST00000220592	NM_012154.3
AIP	ENST00000279146			
AJUBA	ENST00000262713	ENST00000262713		
AKT1	ENST00000554581	ENST00000349310	ENST00000407796	NM_001014431.1
AKT1S1	ENST00000391835			
AKT2	ENST00000392038	ENST00000392038	ENST00000392038	NM_001626.4
AKT3	ENST00000366539	ENST00000263826	ENST00000263826	NM_005465.4
ALB	ENST00000295897	ENST00000295897	ENST00000295897	NM_000477.5
ALDH1L2	ENST00000258494	ENST00000258494		
ALDH2	ENST00000261733	ENST00000261733		
ALK	ENST00000389048	ENST00000389048	ENST00000389048	NM_004304.4
ALOX12B	ENST00000319144	ENST00000319144	ENST00000319144	NM_001139.2
ALOX15B	ENST00000380183			
ALOX5	ENST00000374391			
AMER1	ENST00000330258	ENST00000330258	ENST00000330258	NM_152424.3
ANKRD11	ENST00000301030	ENST00000301030	ENST00000301030	NM_013275.5
ANKRD26	ENST00000376087	ENST00000376087		
APC	ENST00000457016	ENST00000257430	ENST00000257430	NM_000038.5
APEX1	ENST00000216714			
APLNR	ENST00000606794	ENST00000257254	ENST00000606794	NM_005161.4
AR	ENST00000374690	ENST00000374690	ENST00000374690	NM_000044.3
ARAF	ENST00000377045	ENST00000377045	ENST00000377045	NM_001654.4
ARHGAP26	ENST00000274498	ENST00000274498		
ARHGAP35	ENST00000404338	ENST00000404338	ENST00000404338	NM_004491.4
ARHGEF12	ENST00000397843	ENST00000397843		
ARHGEF28	ENST00000545377	ENST00000426542		
ARID1A	ENST00000324856	ENST00000324856	ENST00000324856	NM_006015.4
ARID1B	ENST00000346085	ENST00000346085	ENST00000346085	NM_020732.3
ARID2	ENST00000334344	ENST00000334344	ENST00000334344	NM_152641.2
ARID3A	ENST00000263620	ENST00000263620		
ARID3B	ENST00000346246	ENST00000346246		
ARID3C	ENST00000378909	ENST00000378909		
ARID4A	ENST00000355431	ENST00000355431		
ARID4B	ENST00000264183	ENST00000264183		
ARID5A	ENST00000357485	ENST00000357485		
ARID5B	ENST00000279873	ENST00000279873	ENST00000279873	NM_032199.2
ASXL1	ENST00000375687	ENST00000375687	ENST00000375687	NM_015338.5
ASXL2	ENST00000435504	ENST00000435504	ENST00000336112	NM_018263.4
ATF1	ENST00000262053	ENST00000262053		
ATIC	ENST00000236959	ENST00000236959		
ATM	ENST00000278616	ENST00000278616	ENST00000278616	NM_000051.3
ATP1A1	ENST00000537345	ENST00000295598		
ATP6AP1	ENST00000369762	ENST00000369762		
ATP6V1B2	ENST00000276390	ENST00000276390		
ATR	ENST00000350721	ENST00000350721	ENST00000350721	NM_001184.3
ATRIP	ENST00000320211	ENST00000320211		
ATRX	ENST00000373344	ENST00000373344	ENST00000373344	NM_000489.3
ATXN2	ENST00000377617	ENST00000377617		
ATXN7	ENST00000398590	ENST00000295900	ENST00000398590	NM_001177387.1
AURKA	ENST00000395909	ENST00000312783	ENST00000347343	NM_003600.2
AURKB	ENST00000585124	ENST00000585124	ENST00000585124	NM_004217.3
AXIN1	ENST00000262320	ENST00000262320	ENST00000262320	NM_003502.3
AXIN2	ENST00000307078	ENST00000307078	ENST00000307078	NM_004655.3
AXL	ENST00000301178	ENST00000301178	ENST00000301178	NM_021913.4
B2M	ENST00000558401	ENST00000558401	ENST00000558401	NM_004048.2
BAALC	ENST00000309982	ENST00000297574		
BABAM1	ENST00000359435	ENST00000359435	ENST00000359435	NM_001033549.1
BACH2	ENST00000257749	ENST00000257749		
BAP1	ENST00000460680	ENST00000460680	ENST00000460680	NM_004656.3
BARD1	ENST00000260947	ENST00000260947	ENST00000260947	NM_000465.2
BBC3	ENST00000449228	ENST00000449228	ENST00000449228	NM_001127240.2
BCL10	ENST00000370580	ENST00000370580	ENST00000370580	NM_003921.4
BCL11B	ENST00000357195	ENST00000357195		
BCL2	ENST00000398117	ENST00000333681	ENST00000398117	NM_000633.2
BCL2L1	ENST00000307677	ENST00000307677	ENST00000307677	NM_138578.1
BCL2L11	ENST00000393256	ENST00000393256	ENST00000393256	NM_138621.4
BCL2L2	ENST00000250405	ENST00000250405		
BCL3	ENST00000164227	ENST00000164227		
BCL6	ENST00000406870	ENST00000232014	ENST00000406870	NM_001706.4
BCL7A	ENST00000538010	ENST00000261822		
BCL9	ENST00000234739	ENST00000234739		
BCOR	ENST00000378444	ENST00000378444	ENST00000378444	NM_001123385.1
BCORL1	ENST00000540052	ENST00000218147		
BCR	ENST00000305877	ENST00000305877		
BIRC3	ENST00000263464	ENST00000263464	ENST00000532808	NM_182962.2
BIVM-ERCC5	ENST00000602836		ENST00000602836	
BLM	ENST00000355112	ENST00000355112	ENST00000355112	NM_000057.2
BMPR1A	ENST00000372037	ENST00000372037	ENST00000372037	NM_004329.2
BRAF	ENST00000288602	ENST00000288602	ENST00000288602	NM_004333.4
BRCA1	ENST00000471181	ENST00000357654	ENST00000357654	NM_007294.3
BRCA2	ENST00000544455	ENST00000380152	ENST00000544455	NM_000059.3
BRD3	ENST00000303407	ENST00000303407		
BRD4	ENST00000263377	ENST00000263377	ENST00000263377	NM_058243.2
BRIP1	ENST00000259008	ENST00000259008	ENST00000259008	NM_032043.2
BRSK1	ENST00000309383	ENST00000309383		
BTG1	ENST00000256015	ENST00000256015		
BTG2	ENST00000290551	ENST00000290551		
BTK	ENST00000308731	ENST00000308731	ENST00000308731	NM_000061.2
BUB1B	ENST00000287598	ENST00000287598		
CACNA1D	ENST00000288139	ENST00000350061		
CAD	ENST00000264705	ENST00000264705		
CALR	ENST00000316448	ENST00000316448	ENST00000316448	NM_004343.3
CAMTA1	ENST00000303635	ENST00000303635		
CANT1	ENST00000302345	ENST00000302345		
CARD11	ENST00000396946	ENST00000396946	ENST00000396946	NM_032415.4
CARM1	ENST00000327064	ENST00000327064	ENST00000327064	NM_199141.1
CASP8	ENST00000358485	ENST00000358485	ENST00000358485	NM_001080125.1
CASR	ENST00000498619			
CBFA2T3	ENST00000268679	ENST00000268679		
CBFB	ENST00000412916	ENST00000412916	ENST00000290858	NM_022845.2
CBL	ENST00000264033	ENST00000264033	ENST00000264033	NM_005188.3
CBLB	ENST00000264122	ENST00000264122		
CCN6	ENST00000361714	ENST00000361714		
